,,1,2,3,4,5,6,7,8,9,10,11,12
A,Content,Unkn,Unkn,,,,,,,,,,
A,Sample,388047686-1,388049438,,,,,,,,,,
A,Result,N/A,N/A,,,,,,,,,,
A,Cq,36.4108400650213,33.3696954364472,,,,,,,,,,
A,copy number,None,None,,,,,,,,,,
B,Content,Unkn,Unkn,,,,,,,,,,
B,Sample,388047686-2,388049460,,,,,,,,,,
B,Result,N/A,N/A,,,,,,,,,,
B,Cq,35.774766889928,33.343727003532,,,,,,,,,,
B,copy number,None,None,,,,,,,,,,
C,Content,Unkn,Neg Ctrl,,,,,,,,,,
C,Sample,388047686-3,,,,,,,,,,,
C,Result,N/A,N/A,,,,,,,,,,
C,Cq,35.2610066841551,33.3750166097004,,,,,,,,,,
C,copy number,None,None,,,,,,,,,,
D,Content,Unkn,Pos Ctrl,,,,,,,,,,
D,Sample,388047686-4,,,,,,,,,,,
D,Result,N/A,N/A,,,,,,,,,,
D,Cq,35.2301710653367,33.3392377835103,,,,,,,,,,
D,copy number,None,None,,,,,,,,,,
E,Content,Unkn,,,,,,,,,,,
E,Sample,388047686-5,,,,,,,,,,,
E,Result,N/A,,,,,,,,,,,
E,Cq,34.9685801544365,,,,,,,,,,,
E,copy number,None,,,,,,,,,,,
F,Content,Unkn,,,,,,,,,,,
F,Sample,388047686-6,,,,,,,,,,,
F,Result,N/A,,,,,,,,,,,
F,Cq,35.418843114554,,,,,,,,,,,
F,copy number,None,,,,,,,,,,,
G,Content,Unkn,,,,,,,,,,,
G,Sample,388047686-7,,,,,,,,,,,
G,Result,N/A,,,,,,,,,,,
G,Cq,35.650400886046,,,,,,,,,,,
G,copy number,None,,,,,,,,,,,
H,Content,Unkn,,,,,,,,,,,
H,Sample,388047920,,,,,,,,,,,
H,Result,N/A,,,,,,,,,,,
H,Cq,36.0535252220158,,,,,,,,,,,
H,copy number,None,,,,,,,,,,,
